TIMESTAMP,CPU,MEM
1732082818,2,13408
1732082820,8.7,13408
1732082821,2,13407
1732082822,7.7,13407
1732082823,2,13407
1732082825,2,13407
1732082826,2,13407
1732082827,8.7,13408
1732082828,2,13407
1732082830,2,13407
1732082831,2,13407
1732082832,2,13408
1732082833,8.7,13408
1732082835,2,13407
1732082836,8.7,13408
1732082837,2,13408
1732082838,8.7,13408
1732082840,2,13407
1732082841,2,13407
1732082842,2,13407
1732082843,2,13408
1732082845,2,13407
1732082846,2,13407
1732082847,3,13442
1732082848,2,13441
1732082850,8.7,13441
1732082851,3,13442
1732082852,2,13442
1732082853,2,13441
1732082855,2,13442
1732082856,2,13441
1732082857,7.7,13441
1732082858,2,13442
1732082860,2,13441
1732082861,7.7,13441
1732082862,2,13441
1732082863,2,13442
1732082865,2,13441
1732082866,2,13441
1732082867,2,13441
1732082868,8.7,13442
1732082870,7.7,13442
1732082871,7.7,13441
1732082872,2,13442
1732082874,3,13442
