"Timestamp (s)","CPU (%)","MEM (KB)","Bandwidth (KB/s)","Bandwidth Utilization (%)","Open Sockets","VUS","RPS"
1732083785,0,0,0,0.00,0,0,0
1732083860,11.0,55752,128.63,0.01,35,0,97.08966291860652
1732083861,7.0,57620,110.6,0.01,100,0,98.69506465257248
1732083862,7.0,57804,110.6,0.01,100,0,99.29122056088937
1732083863,8.0,58204,110.6,0.01,100,0,99.5463312462136
1732083865,17.0,59040,110.6,0.01,100,0,98.886534100364
1732083866,8.0,59624,110.61,0.01,100,0,99.8388206972723
1732083867,7.9,59652,110.7,0.01,100,0,99.92699757707584
1732083868,7.0,59676,110.6,0.01,100,0,99.98287833034058
1732083869,8.0,59792,111.71,0.01,100,0,99.5525170513982
1732083871,8.0,60856,110.6,0.01,100,0,99.20638811678052
1732083872,7.0,61360,111.71,0.01,100,0,99.69864102440509
1732083873,7.0,61440,110.61,0.01,100,0,99.76412572972818
1732083874,7.0,61456,111.71,0.01,100,0,99.81427070211355
1732083875,17.0,61496,110.6,0.01,100,0,99.84971802008583
1732083877,9.0,61924,110.6,0.01,100,0,99.88612218268965
1732083878,7.0,61940,110.6,0.01,100,0,99.92350243994173
1732083879,7.0,61968,110.6,0.01,100,0,99.96021862143046
1732083880,8.0,61980,110.6,0.01,100,0,99.98785851481958
1732083881,18.0,61996,110.6,0.01,100,0,100.00217602355073
1732083883,8.0,62572,110.6,0.01,100,0,99.8064412113526
1732083884,9.0,62824,110.6,0.01,100,0,99.83039312171117
1732083885,6.9,62828,110.6,0.01,100,0,99.84984788403084
1732083886,8.0,62836,110.6,0.01,100,0,99.87489433060107
1732083887,8.0,62840,110.6,0.01,100,0,99.89634697834312
1732083888,8.0,62848,110.6,0.01,100,0,99.91431856317286
1732083890,17.0,63568,110.6,0.01,100,0,99.92994143280463
1732083891,7.0,64932,111.71,0.01,100,0,99.94047846102255
1732083892,7.9,65092,110.6,0.01,100,0,99.95220518988825
1732083893,7.0,65116,110.6,0.01,100,0,99.96357850392064
1732083894,7.9,65128,110.6,0.01,100,0,99.9813638364365
1732083896,7.0,65136,110.6,0.01,100,0,99.99306507329806
1732083897,8.0,65140,111.57,0.01,100,0,99.8742707701924
1732083898,18.0,65152,110.6,0.01,100,0,99.88579583271999
1732083899,8.0,65960,110.6,0.01,100,0,99.89971663055525
1732083900,6.9,65964,110.6,0.01,100,0,99.91168926282569
1732083902,8.0,65964,110.6,0.01,100,0,99.80672283317607
1732083903,7.0,65976,110.6,0.01,100,0,99.93198673532696
1732083904,7.0,65976,110.61,0.01,100,0,99.94491270035117
1732083905,7.0,65988,110.6,0.01,100,0,99.95715218992696
1732083906,16.0,65988,110.6,0.01,100,0,99.96074044324507
1732083908,8.0,66496,110.6,0.01,100,0,99.86627866311815
1732083909,8.0,66504,110.61,0.01,100,0,99.97735411338476
1732083910,7.9,66512,110.74,0.01,100,0,99.98424653347996
1732083911,7.0,66512,110.6,0.01,100,0,99.99516886052578
1732083912,6.0,66512,110.6,0.01,100,0,100.00138711721428
1732083914,16.0,66520,110.6,0.01,100,0,99.91275287074158
1732083915,8.0,66756,110.6,0.01,100,0,99.92711116443847
1732083916,8.0,67120,111.71,0.01,100,0,99.93212441058479
1732083917,9.0,67124,110.6,0.01,100,0,99.94108846717647
1732083918,0.0,67124,44.75,0.00,100,0,99.95161143223125
